soil_type,season,altitude,temperature,rainfall,crop
1,0,1938,24.31726999331992,1055.5875873378031,finger_millet
1,1,1784,20.554139156242183,1226.8000646762052,potato
5,1,823,22.649010630663287,1176.4691354965098,garlic
2,2,3952,13.537361708560095,801.738301996424,buckwheat
2,1,3272,16.50788651830175,973.8298865456961,barley
1,1,1191,11.693719085855223,869.8872626858238,pea
5,1,1329,18.316811356592694,929.4818265155975,garlic
1,0,2056,23.384199116818614,623.3978264276473,rajma
2,0,1287,23.33326661843574,1139.8290417339285,finger_millet
2,0,2225,14.649128563752074,815.2157174386484,finger_millet
5,1,2897,8.587801179501412,1179.6134811188945,apple
3,1,2663,22.1493653123015,1238.3914577147066,rajma
1,1,1654,15.792504144108417,858.0406113908805,rajma
1,0,2949,18.408720735563946,1383.1578846837294,buckwheat
1,0,2933,11.647710503696016,1220.6920521622296,buckwheat
5,1,1170,16.57883284831739,1263.7349442120762,garlic
5,2,2607,17.89105672373933,923.3917837153674,apple
1,2,2355,3.5224944584765314,1372.9947285654384,apple
1,1,3087,22.7398243821658,1273.6125292053953,potato
5,1,1027,22.517315231379552,610.4081707406982,garlic
1,1,2834,12.915391042462522,726.5012557064546,barley
1,2,1603,15.898611641874192,1132.6862129730218,pea
2,1,2598,18.31884970671019,957.3716218068163,potato
3,1,1048,12.364538384487556,879.2419395692411,pea
1,1,1823,19.800709461484452,881.2981497917076,apple
1,2,1707,7.458133474814751,1345.1923095351408,pea
1,1,1048,17.21293070201968,704.5075052458878,pea
1,1,858,25.28082779344284,681.4036228008126,garlic
3,1,3455,5.338934054431489,934.3756348692216,barley
1,1,1337,16.989227709101364,691.0095670436395,garlic
1,0,3237,9.470020333528469,667.7506735002455,potato
3,1,1224,16.273066089063164,1369.2902067466266,pea
1,1,1522,12.391682760573389,1065.7589972752912,apple
3,0,2219,20.026986098537016,708.1738509702838,potato
4,0,1091,23.259924254992313,1000.0640946172662,finger_millet
1,2,1537,16.35208149584457,1122.081612172352,pea
1,2,3098,11.120754085329828,835.8537906774135,buckwheat
3,1,3414,8.662053927394753,1112.200731961821,barley
3,1,2184,18.164190534446945,1332.6460666805378,potato
1,1,2077,7.481497193037594,778.891547597049,apple
1,1,1697,13.575655448528488,1262.0424418192374,potato
2,1,3449,13.226523562116506,734.5846745629465,barley
1,1,1867,23.86626915211812,1052.057826429355,garlic
5,1,1437,15.184320129817435,1206.7229384273626,garlic
1,2,1028,18.40808025081911,749.5258371600945,pea
1,0,3525,10.966305186743536,894.9801243766767,buckwheat
3,1,2887,18.34477713801,1294.7743807183301,rajma
3,1,2992,21.963512047049132,1380.433052546205,rajma
1,0,1382,26.457741084053602,1140.9003180706322,finger_millet
1,1,1651,13.65643654783122,1019.5490766861994,garlic
3,1,1955,12.345447728552005,1119.368241692851,rajma
1,1,1832,23.053035851218816,1305.339608229498,barley
1,1,1059,13.90248367988621,1177.0298151790612,garlic
5,2,2308,7.675545734466604,1088.180119582113,apple
4,0,1962,25.691788647520184,1148.1074478995874,finger_millet
1,1,1687,13.147211742998907,1332.3329611733627,pea
1,1,3170,15.193743660946927,809.926258056596,barley
5,1,2182,14.704048641299966,992.3635268158278,garlic
2,0,1724,14.144856458426302,1080.2251684224295,potato
5,1,1496,15.682899043657354,1274.6986565400043,garlic
3,0,1825,25.766661049802217,1168.7619830693986,rajma
3,1,1758,10.476993894110311,742.9302442712824,barley
1,0,2644,21.96211533444469,1009.325610837809,rajma
1,0,2409,11.901362569637195,629.3703547864533,buckwheat
3,1,2210,21.088561249636985,1044.6452651497436,rajma
3,1,1392,19.807011286923448,918.9139953704512,potato
3,0,2776,22.373923090056124,940.8731800375529,rajma
1,1,2189,18.433572060570107,768.7418688852096,garlic
3,1,2220,19.785867170230315,1009.9661247055373,rajma
4,0,1139,24.196982601209744,867.2399725350153,finger_millet
3,0,2699,21.348279412480785,664.8369727261183,rajma
2,0,2387,16.902481860718073,1139.9145624433238,potato
5,1,1575,17.813865415021684,1367.6753640221923,garlic
5,1,2723,4.666894774263754,1173.0587104501458,apple
1,1,1400,14.08413499411047,701.9264573563432,garlic
1,1,1996,20.65398434544725,1129.3241400644333,rajma
1,1,1542,15.198952378087707,660.6906624869312,rajma
3,0,3166,4.685501987854852,1205.1608703911295,buckwheat
5,1,2583,7.096931078941559,1294.8985343644886,apple
3,1,2609,13.993538524016849,1261.522835221575,barley
2,1,2991,14.41805917515885,701.2362489571018,barley
5,1,822,14.69510773481977,1003.5397968507496,garlic
5,1,1291,23.534985578101352,998.2953444114553,garlic
3,1,2496,15.30740083308445,1330.0794764731122,pea
5,1,1294,14.15328385466163,768.9666068703614,garlic
3,1,1980,14.303525415568954,1215.9788945652808,pea
3,1,2293,13.96055009126097,876.5567948031355,rajma
3,1,2716,16.55672757074613,1165.095017480246,barley
1,1,1111,12.202812929719297,1263.7565475336512,pea
2,0,2033,28.70778870816684,1043.7258784280766,finger_millet
1,1,2039,16.44506578788061,1146.8739401774951,garlic
3,1,2212,22.12682441318419,1309.2923911914845,pea
2,0,2378,3.666899450948214,1118.6380218390414,buckwheat
1,0,3385,8.24549212789783,1016.1855684032203,buckwheat
1,0,1779,25.333470618638778,1288.8362396026496,finger_millet
1,2,1212,15.240095536940995,1392.599047514575,pea
3,2,2113,7.577048604627141,1252.7646315321654,buckwheat
2,2,2301,15.981471920577205,1280.1061877480295,buckwheat
1,1,2351,15.493618839418703,656.0865117130056,potato
3,2,2989,9.707564549595485,721.0114275701408,buckwheat
5,2,2627,10.345257011669043,958.0823522561736,apple
3,1,1384,9.200397278574618,1247.0868312268522,pea
3,1,1104,15.748598831520377,1322.4222987942494,pea
1,0,1647,19.14763947238459,668.279734462915,rajma
1,0,2081,26.920322548849164,1379.497790943406,finger_millet
1,2,1019,10.155176245410173,993.3903544151915,pea
5,2,2463,10.79344997967624,827.8983215695382,apple
1,0,2795,23.47788582502351,1125.6890628001333,rajma
1,1,1631,16.82131413796616,762.8284179854438,barley
1,1,1059,13.060896236993106,1156.705259494788,pea
5,1,1840,21.65554683738976,1051.3558334389963,garlic
1,2,1329,12.929249860752062,977.0931875262747,pea
3,1,1548,11.734076764280932,1389.1581808213891,barley
1,0,2257,12.4373471498014,937.3700940207332,buckwheat
1,0,2969,22.224046216296173,1205.599305737783,rajma
2,1,1964,11.667511278437884,803.342171444526,barley
2,1,2119,13.922536269730628,649.2344273078695,barley
1,0,2191,20.017681500300604,1003.8364786436225,finger_millet
1,0,1997,14.948664061460368,685.0698378785818,potato
2,0,2116,12.231777989531878,1105.3779346612673,buckwheat
5,2,1800,8.254578147701377,787.7392306092408,apple
1,2,2159,14.303769675442878,810.0082323865325,pea
1,0,3348,9.057591632587293,1170.9282264897229,buckwheat
1,1,2024,22.838365437060595,1223.2043151392302,garlic
3,0,1694,21.610031943006103,1318.371717478231,potato
1,0,1831,29.800367843933234,951.2764522006628,finger_millet
1,0,1629,29.600064634581567,1307.501237618377,finger_millet
1,1,2201,21.224495093766624,637.5727734200441,rajma
1,0,2391,16.770348675552057,1284.024161295948,finger_millet
1,0,2249,20.52029062849279,624.3777221868753,rajma
1,1,1945,13.183226484372797,1083.2039981916,garlic
3,1,2206,12.985118401386718,910.4789882753257,pea
3,0,2832,19.730910075302685,1343.0463685503082,potato
3,0,2531,18.649417291917864,1117.4786893349792,rajma
1,1,1474,15.6196271769244,1346.1128500431878,garlic
1,0,2314,24.85868591243584,1022.1608872690399,rajma
1,1,1918,20.90586758020474,783.7618522897075,garlic
1,1,1819,16.100935686748596,810.0068834132353,garlic
3,1,1156,16.320184722607337,1262.33996363625,pea
1,0,2945,22.92828745793315,1384.3701800739022,rajma
1,1,999,18.813070249879726,1396.3868885865759,garlic
3,1,1557,9.841582555236743,978.0606824350846,pea
1,0,1644,25.780567372376105,907.1129770985691,rajma
2,1,1551,8.60168861351357,730.8440307310545,barley
1,2,3211,15.723428327593918,1265.9128333615263,buckwheat
1,1,2184,15.675094033482434,924.8657060478167,garlic
